id,type,latitude,longitude
node/2279064256,Bicicletários,-23.5912024,-46.6603238
node/2279064261,Bicicletários,-23.5893246,-46.6592038
node/2279064274,Bicicletários,-23.5881946,-46.6568001
node/2279064295,Bicicletários,-23.5901659,-46.6543808
node/2279064296,Bicicletários,-23.5886419,-46.6628512
node/2418339514,Bicicletários,-23.5632467,-46.6824438
node/2513054757,Bicicletários,-23.5645066,-46.6799008
node/2537959695,Bicicletários,-23.587143,-46.6406604
node/2537959698,Bicicletários,-23.5872133,-46.6407956
node/2537959703,Bicicletários,-23.5877999,-46.6427638
node/2542371071,Bicicletários,-23.5340028,-46.6533605
node/2869109091,Bicicletários,-23.5539906,-46.6887843
node/3033724125,Bicicletários,-23.646244,-46.6404403
node/3188305569,Bicicletários,-23.5660669,-46.684177
node/3296656399,Bicicletários,-23.5367633,-46.5736841
node/3756403712,Bicicletários,-23.5494154,-46.6368563
node/3756623655,Bicicletários,-23.5668157,-46.6503077
node/3756623657,Bicicletários,-23.568909,-46.647531
node/3756623658,Bicicletários,-23.5695838,-46.646692
node/3756623660,Bicicletários,-23.5697061,-46.6465411
node/3756710171,Bicicletários,-23.5650626,-46.6523427
node/3756710172,Bicicletários,-23.5676065,-46.6492232
node/3756710173,Bicicletários,-23.5680783,-46.6486955
node/3756710175,Bicicletários,-23.5699117,-46.6462622
node/3756710176,Bicicletários,-23.5699773,-46.6456552
node/3756710177,Bicicletários,-23.5709813,-46.6442189
node/3756710267,Bicicletários,-23.567188,-46.6498212
node/3756710268,Bicicletários,-23.567092,-46.6493041
node/3756710269,Bicicletários,-23.5682583,-46.6479207
node/3756710270,Bicicletários,-23.5693505,-46.646516
node/3756710271,Bicicletários,-23.5702179,-46.6458865
node/3756710272,Bicicletários,-23.5706972,-46.6447634
node/3757483592,Bicicletários,-23.5699695,-46.6402207
node/3757483593,Bicicletários,-23.5698028,-46.6402247
node/3757483594,Bicicletários,-23.5707822,-46.6399451
node/3757483595,Bicicletários,-23.5772857,-46.6406038
node/3757483596,Bicicletários,-23.5776409,-46.641037
node/3757650400,Bicicletários,-23.571823,-46.6397094
node/3759018561,Bicicletários,-23.5755069,-46.6410256
node/3759018562,Bicicletários,-23.5740956,-46.6402968
node/3759018566,Bicicletários,-23.5599344,-46.6583341
node/4077481841,Bicicletários,-23.5720783,-46.7055525
node/4124207004,Bicicletários,-23.549579,-46.6390193
node/4212956089,Bicicletários,-23.5441402,-46.6380012
node/4247769552,Bicicletários,-23.5522108,-46.6345061
node/4418003590,Bicicletários,-23.5664673,-46.4655212
node/4418003591,Bicicletários,-23.5666517,-46.4649114
node/4526925297,Bicicletários,-23.5475885,-46.6417012
node/4526925298,Bicicletários,-23.547436,-46.6425381
node/4530075518,Bicicletários,-23.5944295,-46.6448332
node/4895850622,Bicicletários,-23.5801748,-46.6846837
node/4968620797,Bicicletários,-23.573146,-46.6297614
node/5266287489,Bicicletários,-23.5258012,-46.7031947
node/5362348341,Bicicletários,-23.7302603,-46.7165752
node/5420875820,Bicicletários,-23.729725,-46.7185509
node/5448142623,Bicicletários,-23.5289182,-46.5755716
node/5453991421,Bicicletários,-23.5763738,-46.6292799
node/5454037721,Bicicletários,-23.5797389,-46.6328114
node/5459382715,Bicicletários,-23.5607286,-46.7345435
node/5459383821,Bicicletários,-23.5600183,-46.735342
node/5459383822,Bicicletários,-23.5595678,-46.7339358
node/5459383823,Bicicletários,-23.5615939,-46.7323718
node/5459383824,Bicicletários,-23.5614355,-46.7361199
node/5459392180,Bicicletários,-23.5600889,-46.7303044
node/5459392181,Bicicletários,-23.5579608,-46.728198
node/5459392182,Bicicletários,-23.5601993,-46.7264018
node/5459447074,Bicicletários,-23.5660838,-46.6844025
node/5688129178,Bicicletários,-23.5586711,-46.6790338
node/5688129179,Bicicletários,-23.5585038,-46.6792238
node/5688129180,Bicicletários,-23.5583056,-46.6791017
node/5766304757,Bicicletários,-23.5268074,-46.6648463
node/5810367160,Bicicletários,-23.5599988,-46.6771842
node/5928845611,Bicicletários,-23.5647948,-46.6854847
node/5993299772,Bicicletários,-23.5639865,-46.6838491
node/5993982657,Bicicletários,-23.5637021,-46.6832909
node/5993983088,Bicicletários,-23.5636183,-46.6832282
node/6103813285,Bicicletários,-23.5709449,-46.6498982
node/6109357785,Bicicletários,-23.5841616,-46.582155
node/6109377185,Bicicletários,-23.5767703,-46.5872605
node/6111812748,Bicicletários,-23.5600909,-46.6779718
node/6188377709,Bicicletários,-23.5311173,-46.6315786
node/6193411352,Bicicletários,-23.5151526,-46.5877979
node/6361077254,Bicicletários,-23.5720285,-46.6965033
node/6418727764,Bicicletários,-23.5929771,-46.6753715
node/6542587115,Bicicletários,-23.5692193,-46.6922017
node/6548005900,Bicicletários,-23.5697305,-46.6918732
node/6550117561,Bicicletários,-23.568425,-46.6921977
node/6550117562,Bicicletários,-23.5685563,-46.6921218
node/6550117563,Bicicletários,-23.5686996,-46.6920437
node/6625433753,Bicicletários,-23.5471106,-46.6247904
node/6812469937,Bicicletários,-23.5496483,-46.6536923
node/6856423718,Bicicletários,-23.5855093,-46.682209
node/7052890792,Bicicletários,-23.5989062,-46.6540352
node/7069816989,Bicicletários,-23.5953783,-46.6851277
node/7069816990,Bicicletários,-23.5953069,-46.6848764
node/7069816991,Bicicletários,-23.595216100000002,-46.6845685
node/7069816992,Bicicletários,-23.5954366,-46.6851418
node/7069816993,Bicicletários,-23.5953491,-46.6848552
